,degree,coeff name,coeff value,std error,CI lower,CI upper
0,12.0,$\beta$0,-0.0,,,
1,12.0,$\beta$1,-0.0008,6e-05,-0.00091,-0.00065
2,12.0,$\beta$2,0.0036,9e-05,0.00345,0.00379
3,12.0,$\beta$3,-0.2875,0.00586,-0.29898,-0.27601
4,12.0,$\beta$4,0.296,0.00789,0.28054,0.31147
5,12.0,$\beta$5,-0.1337,0.00583,-0.14508,-0.12224
6,12.0,$\beta$6,0.0025,7e-05,0.00232,0.0026
7,12.0,$\beta$7,-0.0008,6e-05,-0.00093,-0.00068
8,12.0,$\beta$8,-0.0014,6e-05,-0.00156,-0.00131
9,12.0,$\beta$9,0.0014,7e-05,0.00127,0.00155
10,12.0,$\beta$10,-0.0,0.0,-0.0,-0.0
11,12.0,$\beta$11,-0.0,0.0,-1e-05,-1e-05
12,12.0,$\beta$12,0.0,0.0,1e-05,2e-05
13,12.0,$\beta$13,-0.0,0.0,-0.0,-0.0
14,12.0,$\beta$14,-0.0,0.0,-0.0,-0.0
15,12.0,$\beta$15,0.0,0.0,0.0,0.0
16,12.0,$\beta$16,0.0,0.0,-0.0,0.0
17,12.0,$\beta$17,-0.0,0.0,-0.0,-0.0
18,12.0,$\beta$18,-0.0,0.0,-0.0,-0.0
19,12.0,$\beta$19,-0.0,0.0,-0.0,-0.0
20,12.0,$\beta$20,-0.0,0.0,-0.0,-0.0
21,12.0,$\beta$21,-0.0,0.0,-0.0,0.0
22,12.0,$\beta$22,0.0,0.0,-0.0,0.0
23,12.0,$\beta$23,0.0,0.0,-0.0,0.0
24,12.0,$\beta$24,-0.0,0.0,-0.0,0.0
25,12.0,$\beta$25,-0.0,0.0,-0.0,0.0
26,12.0,$\beta$26,0.0,0.0,-0.0,0.0
27,12.0,$\beta$27,0.0,0.0,0.0,0.0
28,12.0,$\beta$28,-0.0,0.0,-0.0,0.0
29,12.0,$\beta$29,0.0,0.0,-0.0,0.0
30,12.0,$\beta$30,-0.0,0.0,-0.0,0.0
31,12.0,$\beta$31,0.0,0.0,-0.0,0.0
32,12.0,$\beta$32,0.0,0.0,-0.0,0.0
33,12.0,$\beta$33,0.0,0.0,-0.0,0.0
34,12.0,$\beta$34,-0.0,0.0,-0.0,0.0
35,12.0,$\beta$35,0.0,0.0,-0.0,0.0
36,12.0,$\beta$36,-0.0,0.0,-0.0,0.0
37,12.0,$\beta$37,-0.0,0.0,-0.0,0.0
38,12.0,$\beta$38,0.0,0.0,-0.0,0.0
39,12.0,$\beta$39,-0.0,0.0,-0.0,0.0
40,12.0,$\beta$40,0.0,0.0,-0.0,0.0
41,12.0,$\beta$41,-0.0,0.0,-0.0,0.0
42,12.0,$\beta$42,0.0,0.0,-0.0,0.0
43,12.0,$\beta$43,-0.0,0.0,-0.0,0.0
44,12.0,$\beta$44,0.0,0.0,-0.0,0.0
45,12.0,$\beta$45,0.0,0.0,-0.0,0.0
46,12.0,$\beta$46,-0.0,0.0,-0.0,0.0
47,12.0,$\beta$47,0.0,0.0,-0.0,0.0
48,12.0,$\beta$48,0.0,0.0,-0.0,0.0
