,degree,coeff name,coeff value,std error,CI lower,CI upper
49,12.0,$\beta$49,0.0,0.0,-0.0,0.0
50,12.0,$\beta$50,0.0,0.0,-0.0,0.0
51,12.0,$\beta$51,-0.0,0.0,-0.0,-0.0
52,12.0,$\beta$52,0.0,0.0,-0.0,0.0
53,12.0,$\beta$53,0.0,0.0,-0.0,0.0
54,12.0,$\beta$54,-0.0,0.0,-0.0,0.0
55,12.0,$\beta$55,0.0,0.0,-0.0,0.0
56,12.0,$\beta$56,0.0,0.0,0.0,0.0
57,12.0,$\beta$57,0.0,0.0,-0.0,0.0
58,12.0,$\beta$58,-0.0,0.0,-0.0,0.0
59,12.0,$\beta$59,0.0,0.0,-0.0,0.0
60,12.0,$\beta$60,0.0,0.0,-0.0,0.0
61,12.0,$\beta$61,-0.0,0.0,-0.0,0.0
62,12.0,$\beta$62,-0.0,0.0,-0.0,0.0
63,12.0,$\beta$63,-0.0,0.0,-0.0,0.0
64,12.0,$\beta$64,-0.0,0.0,-0.0,0.0
65,12.0,$\beta$65,-0.0,0.0,-0.0,0.0
66,12.0,$\beta$66,0.0,0.0,-0.0,0.0
67,12.0,$\beta$67,-0.0,0.0,-0.0,0.0
68,12.0,$\beta$68,0.0,0.0,-0.0,0.0
69,12.0,$\beta$69,0.0,0.0,-0.0,0.0
70,12.0,$\beta$70,-0.0,0.0,-0.0,0.0
71,12.0,$\beta$71,0.0,0.0,-0.0,0.0
72,12.0,$\beta$72,-0.0,0.0,-0.0,0.0
73,12.0,$\beta$73,0.0,0.0,-0.0,0.0
74,12.0,$\beta$74,-0.0,0.0,-0.0,0.0
75,12.0,$\beta$75,-0.0,0.0,-0.0,0.0
76,12.0,$\beta$76,0.0,0.0,-0.0,0.0
77,12.0,$\beta$77,-0.0,0.0,-0.0,-0.0
78,12.0,$\beta$78,-0.0,0.0,-0.0,0.0
79,12.0,$\beta$79,-0.0,0.0,-0.0,0.0
80,12.0,$\beta$80,0.0,0.0,-0.0,0.0
81,12.0,$\beta$81,-0.0,0.0,-0.0,0.0
82,12.0,$\beta$82,0.0,0.0,-0.0,0.0
83,12.0,$\beta$83,-0.0,0.0,-0.0,0.0
84,12.0,$\beta$84,0.0,0.0,0.0,0.0
85,12.0,$\beta$85,-0.0,0.0,-0.0,0.0
86,12.0,$\beta$86,-0.0,0.0,-0.0,0.0
87,12.0,$\beta$87,0.0,0.0,0.0,0.0
88,12.0,$\beta$88,-0.0,0.0,-0.0,0.0
89,12.0,$\beta$89,-0.0,0.0,-0.0,0.0
90,12.0,$\beta$90,0.0,0.0,0.0,0.0
