,degree,coeff name,coeff value,std error,CI lower,CI upper
0,8.0,$\beta$0,0.0,0.0,0.0,0.0
1,8.0,$\beta$1,-0.0021,0.0001,-0.0023,-0.002
2,8.0,$\beta$2,0.0006,0.0001,0.0005,0.0007
3,8.0,$\beta$3,-0.2858,0.005,-0.2955,-0.2761
4,8.0,$\beta$4,0.2971,0.0067,0.2839,0.3103
5,8.0,$\beta$5,-0.1333,0.005,-0.143,-0.1235
6,8.0,$\beta$6,0.0024,0.0001,0.0023,0.0026
7,8.0,$\beta$7,-0.0008,0.0001,-0.0009,-0.0007
8,8.0,$\beta$8,-0.0014,0.0001,-0.0015,-0.0013
9,8.0,$\beta$9,0.0014,0.0001,0.0013,0.0015
10,8.0,$\beta$10,-0.0,0.0,-0.0,-0.0
11,8.0,$\beta$11,-0.0,0.0,-0.0,-0.0
12,8.0,$\beta$12,0.0,0.0,0.0,0.0
13,8.0,$\beta$13,-0.0,0.0,-0.0,-0.0
14,8.0,$\beta$14,-0.0,0.0,-0.0,-0.0
15,8.0,$\beta$15,0.0,0.0,0.0,0.0
16,8.0,$\beta$16,0.0,0.0,-0.0,0.0
17,8.0,$\beta$17,-0.0,0.0,-0.0,-0.0
18,8.0,$\beta$18,-0.0,0.0,-0.0,-0.0
19,8.0,$\beta$19,-0.0,0.0,-0.0,-0.0
20,8.0,$\beta$20,-0.0,0.0,-0.0,-0.0
21,8.0,$\beta$21,-0.0,0.0,-0.0,0.0
22,8.0,$\beta$22,0.0,0.0,-0.0,0.0
23,8.0,$\beta$23,0.0,0.0,-0.0,0.0
24,8.0,$\beta$24,-0.0,0.0,-0.0,0.0
25,8.0,$\beta$25,-0.0,0.0,-0.0,0.0
26,8.0,$\beta$26,0.0,0.0,-0.0,0.0
27,8.0,$\beta$27,0.0,0.0,0.0,0.0
28,8.0,$\beta$28,-0.0,0.0,-0.0,0.0
29,8.0,$\beta$29,0.0,0.0,-0.0,0.0
30,8.0,$\beta$30,0.0,0.0,-0.0,0.0
31,8.0,$\beta$31,0.0,0.0,-0.0,0.0
32,8.0,$\beta$32,0.0,0.0,-0.0,0.0
33,8.0,$\beta$33,0.0,0.0,-0.0,0.0
34,8.0,$\beta$34,0.0,0.0,-0.0,0.0
35,8.0,$\beta$35,0.0,0.0,0.0,0.0
36,8.0,$\beta$36,-0.0,0.0,-0.0,0.0
37,8.0,$\beta$37,0.0,0.0,-0.0,0.0
38,8.0,$\beta$38,0.0,0.0,-0.0,0.0
39,8.0,$\beta$39,-0.0,0.0,-0.0,-0.0
40,8.0,$\beta$40,0.0,0.0,-0.0,0.0
41,8.0,$\beta$41,-0.0,0.0,-0.0,0.0
42,8.0,$\beta$42,0.0,0.0,-0.0,0.0
43,8.0,$\beta$43,-0.0,0.0,-0.0,0.0
44,8.0,$\beta$44,0.0,0.0,-0.0,0.0
